Reference No.	Citation	Corpus Layer	Primary Evidence Role	Provenance Class	Minimum Credibility Lens	Evidential Use Rule	High-Centrality Seed
1	Acemoglu, D. and Lensman, T. (2024). Regulating Transformative Technologies. American Economic Review: Insights, 6(3), 359–376. doi:10.1257/aeri.20230353.	Academic synthesis	Formal theory / mechanism design	Cross-domain mechanism / foundational transfer	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	Yes
2	Aghion, P., Bergeaud, A. and Van Reenen, J. (2023). The Impact of Regulation on Innovation. American Economic Review, 113(11), 2894–2936. doi:10.1257/aer.20210107.	Academic synthesis	Causal / quasi-experimental empirical	Cross-domain mechanism / foundational transfer	Identifying assumption; support; treatment definition; threats; external validity	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	Yes
3	Angelova, V., Dobbie, W. and Yang, C.S. (2026). Algorithmic Recommendations and Human Discretion. Review of Economic Studies, 93(4), 2250–2283. doi:10.1093/restud/rdaf084.	Academic synthesis	Causal / quasi-experimental empirical	AI-market / adoption / algorithmic-adjacent evidence	Identifying assumption; support; treatment definition; threats; external validity	Causal language only within identified support and maintained assumptions.	Yes
4	Babina, T., Fedyk, A., He, A. and Hodson, J. (2024). Artificial intelligence, firm growth, and product innovation. Journal of Financial Economics, 151, 103745. doi:10.1016/j.jfineco.2023.103745.	Academic synthesis	Observational / descriptive empirical	AI-market / adoption / algorithmic-adjacent evidence	Confounding; selection; measurement; denominator and sampling frame	Descriptive/associational use unless an identification design justifies stronger language.	No
5	Batool, A., Zowghi, D. and Bano, M. (2025). AI governance: a systematic literature review. AI and Ethics, 5, 3265–3279. doi:10.1007/s43681-024-00653-w.	Academic synthesis	Review / synthesis / framework	Direct AI-governance evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
6	Bergemann, D. and Bonatti, A. (2024). Data, Competition, and Digital Platforms. American Economic Review, 114(8), 2553–2595. doi:10.1257/aer.20230478.	Academic synthesis	Formal theory / mechanism design	Cross-domain mechanism / foundational transfer	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	Yes
7	Bostoen, F. and Kraemer, J. (2026). How Future-Proof is the DMA? A Case Study Of AI Agents. Journal of Competition Law & Economics, nhag005. doi:10.1093/joclec/nhag005.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
8	Bourreau, M., Kraemer, J. and Buiten, M. (2022). Interoperability in Digital Markets. Centre on Regulation in Europe.	Academic synthesis	Legal / doctrinal / institutional analysis	Cross-domain mechanism / foundational transfer	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	No
9	Calvino, F. and Fontanelli, L. (2023). A portrait of AI adopters across countries: Firm characteristics, assets’ complementarities and productivity. OECD Science, Technology and Industry Working Papers, 2023/02. doi:10.1787/0fb79bb9-en.	Academic synthesis	Observational / descriptive empirical	AI-market / adoption / algorithmic-adjacent evidence	Confounding; selection; measurement; denominator and sampling frame	Descriptive/associational use unless an identification design justifies stronger language.	No
10	Cannataci, J.A. (1989). Law, liability and expert systems. AI & Society, 3(3), 169–183. doi:10.1007/BF01891428.	Academic synthesis	Legal / doctrinal / institutional analysis	AI-market / adoption / algorithmic-adjacent evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
11	Chan, A. (2026). Optimal Medical Liability for AI. NBER Working Paper 35321. doi:10.3386/w35321.	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	Yes
12	Chan, A. (2026). Risk Design: AI and Prediction Beyond Screening in Insurance Markets. NBER Working Paper 35444. doi:10.3386/w35444.	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	No
13	Chang, P.P., Orlowski, J. and Rahatsen, Y. (2026). Competition in AI Markets. World Development Report 2026 Background Paper, World Bank.	Academic synthesis	Review / synthesis / framework	AI-market / adoption / algorithmic-adjacent evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
14	Cole, G.S. (1990). Tort Liability for Artificial Intelligence and Expert Systems. John Marshall Journal of Computer & Information Law, 10(2).	Academic synthesis	Legal / doctrinal / institutional analysis	AI-market / adoption / algorithmic-adjacent evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
15	Eichengreen, B., Cui, G., El-Ganainy, A.A., Koriyenko, Y., Shojaei, E., Zeng, L. and Zhang, S. (2026). AI in a Fragmenting World. NBER Working Paper 35597.	Academic synthesis	Structural / calibrated quantitative	Direct AI-governance evidence	Identification/calibration basis; parameter sensitivity; counterfactual dependence	Model-dependent counterfactual; not a reduced-form treatment effect.	No
16	Emery-Xu, N., Jordan, R. and Trager, R. (2025). International governance of advancing artificial intelligence. AI & Society, 40, 3019–3044. doi:10.1007/s00146-024-02050-7.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
17	Green, B. (2022). The flaws of policies requiring human oversight of government algorithms. Computer Law & Security Review, 45, 105681. doi:10.1016/j.clsr.2022.105681.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
18	Guerreiro, J., Rebelo, S. and Teles, P. (2023, revised 2026). Regulating Artificial Intelligence. NBER Working Paper 31921. doi:10.3386/w31921.	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	Yes
19	Hadley, E., Blatecky, A. and Comfort, M. (2025). Investigating Algorithm Review Boards for Organizational Responsible Artificial Intelligence Governance. AI and Ethics, 5, 2485–2495. doi:10.1007/s43681-024-00574-8.	Academic synthesis	Qualitative / case / interview	Direct AI-governance evidence	Sampling; triangulation; coverage/saturation; coding; inferential scope	Reported process or institutional constraint; no prevalence or treatment-effect claim without design support.	No
