Type	Tension	Boundary Variable	Analytical Classification	Boundary Evidence	Main Reference Nos.
I	Precaution vs experimentation	Information-production technology; reversibility; exposure cost	Delay preserves option value when evidence arrives without exposure; deployment can instead create information when use generates signals.	Model-imposed / cross-model inference	1; 49
II	Data scale vs data rights	Cross-user learning; cross-person informational externality	Learning gains and privacy/information externalities can operate simultaneously.	Model-imposed / cross-study inference	52; 20; 50; 51
II	Transparency vs accountability	Fidelity; usability; decision authority; consequences	Disclosure can reduce information asymmetry without creating enforceable accountability.	Cross-study inference	59; 60; 63
I	Human control vs automation	Incremental human information; interface/use conditions	Decision quality can change sign with the human reviewer’s incremental informational advantage.	Direct, setting-specific	61; 3
II	Standardisation vs delegated rulemaking	Reusable compliance/interoperability versus agency, participation and rents	Transaction-cost benefits and political-economy costs can coexist.	Cross-study inference	55; 54
I	Data access vs appropriability	Learning technology; anticipation; data creation; complements	Access/sharing can improve or reduce contestability/welfare under different primitives.	Model-imposed	52; 139; 140; 20; 6
II	Ex ante review vs ex post liability	Observability; timing; expertise; solvency; reversibility	Pre-market review and liability can be complements rather than mutually exclusive alternatives.	Cross-study inference	66; 134; 69; 70
II	Explanation vs contestability	Explanation fidelity; forum; remedy; authority	Reasons can be supplied without an actionable remedy.	Cross-study inference	84; 86; 85
II	Direct prescription vs management-based regulation	Heterogeneity; monitorability; standardisability; internal-process verifiability	Prescriptive clarity/enforceability and management-based adaptability are joint institutional trade-offs; neither is a standalone cross-study sign reversal.	Model/institution-imposed	68
II	Regulatory expertise vs capture	Expertise gains versus informational/political rents	Specialisation can improve information while also increasing informational rents and influence.	Cross-study inference	124; 131; 130; 125
II	Compute control vs infrastructure power	Enforceability versus concentration and switching	Infrastructure chokepoints can aid enforcement while strengthening gatekeeping.	Cross-study inference	82; 21; 13
II	Fairness vs welfare/power	Welfare object; affected group; control over objective/rule	Metric satisfaction need not settle distributional welfare or control.	Cross-study inference	89; 88
